Q1997514,"Paul Atkinson",1946-03-19T00:00:00Z,2004-04-01T00:00:00Z,"Contemporary",2022-06-11T21:01:29+00:00
Q508953,"Arthur Bliss",1891-08-02,1975-03-27,"Modernism",2022-06-11T20:52:05+00:00
None,"SFJAZZ Collective",None,None,"None",2022-06-11T17:23:52+00:00
None,"Félix Cébarec",None,None,"None",2022-06-11T17:20:15+00:00
Q4030,"Duke Ellington",1899-04-29,1974-05-24,"Modernism",2022-06-11T17:16:53+00:00
None,"Coleman Hawkins",None,None,"None",2022-06-11T17:13:36+00:00
Q388320,"Avishai Cohen",1970-04-20,None,"Contemporary",2022-06-11T17:07:37+00:00
None,"Sélène Saint‐Aimé",None,None,"None",2022-06-11T17:03:35+00:00
Q274146,"Melba Liston",1926-01-13,1999-04-23,"Modernism",2022-06-11T16:59:42+00:00
Q20684680,"Nduduzo Makhathini",1982-09-24T00:00:00Z,None,"Contemporary",2022-06-11T16:52:19+00:00
None,"Brigitte Beraha",None,None,"None",2022-06-11T16:48:01+00:00
None,"SFJAZZ Collective",None,None,"None",2022-06-11T16:36:55+00:00
Q2898753,"Bernard Wright",1963-11-16T00:00:00Z,2022-05-19T00:00:00Z,"Contemporary",2022-06-11T16:28:55+00:00
Q635132,"Charles Lloyd",1938-03-15T00:00:00Z,None,"Modernism",2022-06-11T16:19:45+00:00
None,"Deadeye",None,None,"None",2022-06-11T16:14:39+00:00
None,"Trevor Watkis' Routes in Jazz Group",None,None,"None",2022-06-11T16:09:12+00:00
None,"SFJAZZ Collective",None,None,"None",2022-06-11T16:00:44+00:00
None,"Şatellites",None,None,"None",2022-06-11T15:56:53+00:00
None,"High Level Ranters",None,None,"None",2022-06-11T15:51:39+00:00
None,"High Level Ranters",None,None,"None",2022-06-11T15:48:18+00:00
None,"Kinnaris Quintet",None,None,"None",2022-06-11T15:40:03+00:00
None,"New Asia",None,None,"None",2022-06-11T15:35:56+00:00
None,"Полынь",None,None,"None",2022-06-11T15:28:26+00:00
None,"Rusan Filiztek",None,None,"None",2022-06-11T15:15:17+00:00
