Eric Coates,1886-08-27T00:00:00Z,1957-12-21T00:00:00Z,None,Television March ,Tue Mar 29 13:30:02 +0000 2022
Coleridge-Taylor Perkinson,1932-06-14T00:00:00Z,2004-03-09T00:00:00Z,None,Louisiana Blues Strut and Blue... ,Tue Mar 29 13:18:41 +0000 2022
Dario Castello,1602-10-19T00:00:00Z,1631-07-02T00:00:00Z,Baroque music,Sonata concertate a 3... ,Tue Mar 29 13:10:08 +0000 2022
Mikhail Glinka,1803-06-02T00:00:00Z,1857-02-15T00:00:00Z,None,Valse-Fantaisie ,Tue Mar 29 13:00:43 +0000 2022
Wolfgang Amadeus Mozart,1756-01-27T00:00:00Z,1791-12-05T00:00:00Z,Classical period,String Quartet In D Minor,Tue Mar 29 12:05:29 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Mystery (Rosary) Sonata (Passacagli... ,Tue Mar 29 11:49:30 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Mystery (Rosary) Sona... ,Tue Mar 29 11:29:41 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Mystery (Rosary) Sona... ,Tue Mar 29 11:18:13 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Mystery (Rosary) Sonata No 12 in C ... ,Tue Mar 29 11:15:54 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Mystery (Rosary) Sona... ,Tue Mar 29 11:08:39 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Mystery (Rosary) Sona... ,Tue Mar 29 11:00:43 +0000 2022
Ludwig van Beethoven,1770-12-16T00:00:00Z,1827-03-26T00:00:00Z,Classical period,Symphony No. 7 in A m... ,Tue Mar 29 10:50:42 +0000 2022
Carl Philipp Emanuel Bach,1714-03-08T00:00:00Z,1788-12-14T00:00:00Z,western classical music,Rondo in D minor,Tue Mar 29 10:45:23 +0000 2022
Maurice Ravel,1875-03-01T00:00:00Z,1937-12-28T00:00:00Z,impressionism in music,Matinée de Provence ,Tue Mar 29 10:41:20 +0000 2022
Gerald Finzi,1901-07-14T00:00:00Z,1956-09-27T00:00:00Z,None,Concerto for violin a... ,Tue Mar 29 10:30:16 +0000 2022
Germaine Tailleferre,1892-04-19T00:00:00Z,1983-11-07T00:00:00Z,None,Trio for violin,Tue Mar 29 10:16:34 +0000 2022
Karl Goldmark,1830-05-18T00:00:00Z,1915-01-02T00:00:00Z,None,Scherzo in E Minor,Tue Mar 29 10:09:44 +0000 2022
Franz Danzi,1763-06-15T00:00:00Z,1826-04-13T00:00:00Z,None,Wind Quintet in F maj... ,Tue Mar 29 10:04:17 +0000 2022
Benjamin Britten,1913-11-22T00:00:00Z,1976-12-04T00:00:00Z,None,Since she whom I love... ,Tue Mar 29 10:00:31 +0000 2022
Takashi Yoshimatsu,1953-03-18T00:00:00Z,None,None,Dream Coloured Mobile... ,Tue Mar 29 09:52:36 +0000 2022
Modest Petrovich Mussorgsky,1839-03-21T00:00:00Z,1881-03-28T00:00:00Z,None,Song of the Flea ,Tue Mar 29 09:47:22 +0000 2022
Duke Ellington,1899-04-29T00:00:00Z,1974-05-24T00:00:00Z,"Harlem Renaissance,Lightning Bugs and Frogs [The Queen\'s Suite]",Tue Mar 29 09:44:36 +0000 2022
