"Ernő Dohnányi",1877-07-27T00:00:00Z,1960-02-09T00:00:00Z,"None","Concertino for harp &amp;... ",Wed Apr 27 06:09:06 +0000 2022
"Roman Hoffstetter",1742-04-04T00:00:00Z,1815-06-21T00:00:00Z,"None","String Quartet in F major - Serenade (2nd mvt) ",Wed Apr 27 06:04:30 +0000 2022
"Johann Sebastian Bach",1685-03-31T00:00:00Z,1750-07-28T00:00:00Z,"Baroque music","Fürchte dich nicht\, i... ",Wed Apr 27 05:52:35 +0000 2022
"Wolfgang Amadeus Mozart",1756-01-27T00:00:00Z,1791-12-05T00:00:00Z,"Classical period","Adagio in E major\, K 261 ",Wed Apr 27 05:44:15 +0000 2022
"André Cardinal Destouches",1672-04-06T00:00:00Z,1749-02-07T00:00:00Z,"Baroque music","Les Elements (Act 3 C... ",Wed Apr 27 05:37:54 +0000 2022
"Frédéric Chopin",1810-02-22T00:00:00Z,1849-10-17T00:00:00Z,"western classical music","Nocturne in E flat major\, Op 9 No 2 ",Wed Apr 27 05:31:55 +0000 2022
"Felix Mendelssohn",1809-02-03T00:00:00Z,1847-11-04T00:00:00Z,"Romantic music","Symphony no. 4 (Op.90... ",Wed Apr 27 05:03:05 +0000 2022
"Yrjö Kilpinen",1892-02-04T00:00:00Z,1959-03-02T00:00:00Z,"None","Spielmannslieder (Op.77) ",Wed Apr 27 04:49:28 +0000 2022
"Carl Reinecke",1824-06-23T00:00:00Z,1910-03-10T00:00:00Z,"None","Trio for oboe\, horn a... ",Wed Apr 27 04:26:23 +0000 2022
"Camille Saint-Saëns",1835-10-09T00:00:00Z,1921-12-16T00:00:00Z,"western classical music","Caprice d'après l'Etu... ",Wed Apr 27 04:17:05 +0000 2022
"Mikhail Glinka",1803-06-02T00:00:00Z,1857-02-15T00:00:00Z,"None","Valse-fantasie in B minor ",Wed Apr 27 04:09:10 +0000 2022
"Domenico Scarlatti",1685-10-26T00:00:00Z,1757-07-23T00:00:00Z,"Baroque music","Sonata for Mandolin in D minor k.90 ",Wed Apr 27 03:59:57 +0000 2022
"Johannes Bach",1604-11-26T00:00:00Z,1673-05-13T00:00:00Z,"Baroque music","Unser Leben ist ein Schatten ",Wed Apr 27 03:50:56 +0000 2022
"Frédéric Chopin",1810-02-22T00:00:00Z,1849-10-17T00:00:00Z,"western classical music","Rondo in C for Two Pianos\, Op 73 ",Wed Apr 27 03:40:30 +0000 2022
"Johannes Brahms",1833-05-07T00:00:00Z,1897-04-03T00:00:00Z,"Romantic music","Theme with variations from Sextet in B flat ... ",Wed Apr 27 03:30:58 +0000 2022
"Jean Sibelius",1865-12-08T00:00:00Z,1957-09-20T00:00:00Z,"None","Finlandia\, Op 26 ",Wed Apr 27 03:21:14 +0000 2022
"Fernando Sor",1778-02-13T00:00:00Z,1839-07-10T00:00:00Z,"None","Introduction and variations on Mozart's 'O cara armoni... ",Wed Apr 27 03:12:28 +0000 2022
"Henri Messemaeckers",None,None,"None","Grande Marche funebre pour ... ",Wed Apr 27 03:03:43 +0000 2022
"Louis Spohr",1784-04-05T00:00:00Z,1859-10-23T00:00:00Z,"None","Fantasie and variatio... ",Wed Apr 27 02:56:29 +0000 2022
"Joseph-Hector Fiocco",1703-01-20T00:00:00Z,1741-06-21T00:00:00Z,"Baroque music","Sonata in G minor (in fo... ",Wed Apr 27 02:49:21 +0000 2022
"Orlande de Lassus",1532-01-01T00:00:00Z,1594-06-14T00:00:00Z,"None","3 motets: Jubilate De... ",Wed Apr 27 02:43:47 +0000 2022
"Gabriel Fauré",1845-05-12T00:00:00Z,1924-11-04T00:00:00Z,"Romantic music","Piano Quartet No.2 in... ",Wed Apr 27 02:07:55 +0000 2022
"Richard Strauss",1866-06-11T00:00:00Z,1949-09-08T00:00:00Z,"None","Der Burger als Edelma... ",Wed Apr 27 01:31:05 +0000 2022
"Giovanni da Palestrina",1520-01-01T00:00:00Z,1594-02-02T00:00:00Z,"None","Missa Papae Marcelli ... ",Wed Apr 27 01:03:43 +0000 2022
"Luigi Boccherini",1743-02-19T00:00:00Z,1805-05-28T00:00:00Z,"None","String Quintet No. 60... ",Wed Apr 27 00:49:01 +0000 2022
"Tomaso Albinoni",1671-06-08T00:00:00Z,1751-01-17T00:00:00Z,"Baroque music","Oboe Concerto in D mi... ",Wed Apr 27 00:37:41 +0000 2022
"Giovanni Antonio Piani",None,None,"None","Sonata II\, from 'Viol... ",Wed Apr 27 00:29:01 +0000 2022
"Alessandro Scarlatti",1660-05-02T00:00:00Z,1725-10-24T00:00:00Z,"Baroque music","Toccata VII primo tono\, for harpsichord ",Wed Apr 27 00:22:14 +0000 2022
"Carlo Ambrogio Lonati",1645-01-01T00:00:00Z,1710-01-01T00:00:00Z,"Baroque music","Sonata Quinta ",Wed Apr 27 00:14:28 +0000 2022
"Alessandro Scarlatti",1660-05-02T00:00:00Z,1725-10-24T00:00:00Z,"Baroque music","Cello Sonata in D minor ",Tue Apr 26 23:57:55 +0000 2022
"Gian Carlo Callo",None,None,"None","Sonata Terza ",Tue Apr 26 23:48:47 +0000 2022
"Nicola Matteis (1)",None,None,"None","Passaggio rotto and Fantasia\, from 'Ayres for the Violin\, P... ",Tue Apr 26 23:44:15 +0000 2022
"Michele Mascitti",1664-01-01T00:00:00Z,1760-04-19T00:00:00Z,"Baroque music","Sonata III\, from 'Vio... ",Tue Apr 26 23:31:18 +0000 2022
"Natural Voice Lullaby Project",None,None,"None","Nature's Own ",Tue Apr 26 23:25:56 +0000 2022
"Bing &amp; Ruth",None,None,"None","Reflector bingandruth",Tue Apr 26 23:17:56 +0000 2022
"Dreamers’ Circus",None,None,"None","Bubbles in Central Park ",Tue Apr 26 23:13:47 +0000 2022
"John Luther Adams",1953-01-23T00:00:00Z,None,"None","The Farthest Place ",Tue Apr 26 23:02:35 +0000 2022
"Emahoy Tsegué-Maryam Guèbrou",1923-12-12T00:00:00Z,None,"None","Homesickness ",Tue Apr 26 22:57:06 +0000 2022
"Lou Harrison",1917-05-14T00:00:00Z,2003-02-02T00:00:00Z,"None","Chorale 'Et in Arcadi... ",Tue Apr 26 22:51:20 +0000 2022
"Jason Thomas",None,None,"None","Mulysa ",Tue Apr 26 22:45:44 +0000 2022
"Meredith Monk",1942-11-20T00:00:00Z,None,"None","Ellis Island ",Tue Apr 26 22:42:50 +0000 2022
"Benjamin Britten",1913-11-22T00:00:00Z,1976-12-04T00:00:00Z,"None","Hymn (Harp Suite Op.83) ",Tue Apr 26 22:36:45 +0000 2022
"Judith Bingham",1952-06-21T00:00:00Z,None,"None","The darkness is no darkness binghamcomposer\, VOCES8",Tue Apr 26 22:32:22 +0000 2022
