"Vincent d'Indy",1851-03-27T00:00:00Z,1931-12-03T00:00:00Z,"Romantic","Chanson et danses\, Op. 50: I. Chanson ",Thu May 12 08:29:41 +0000 2022
"Johann Sebastian Bach",1685-03-31T00:00:00Z,1750-07-28T00:00:00Z,"Baroque","Prelude and fugue in ... ",Thu May 12 08:23:44 +0000 2022
"Cecilia McDowall",1951-01-01T00:00:00Z,None,"Contemporary","Great Hills (Perpetuu... ",Thu May 12 08:17:43 +0000 2022
"Antonín Dvořák",1841-09-08T00:00:00Z,1904-05-01T00:00:00Z,"Romantic","Dance in the Ballroom... ",Thu May 12 08:11:32 +0000 2022
"Joseph Haydn",1732-03-31T00:00:00Z,1809-05-31T00:00:00Z,"Classical","Sonata in G major H.16.39 for piano; 3rd movement; P... ",Thu May 12 08:06:50 +0000 2022
"Edouard Lalo",1823-01-27T00:00:00Z,1892-04-22T00:00:00Z,"Romantic","Scherzo for orchestra ",Thu May 12 08:01:14 +0000 2022
"Antonio Vivaldi",1678-03-04T00:00:00Z,1741-07-28T00:00:00Z,"Baroque","Concerto in A minor f... ",Thu May 12 07:52:50 +0000 2022
"Ludwig van Beethoven",1770-12-16T00:00:00Z,1827-03-26T00:00:00Z,"Classical","Piano Sonata in C minor\, Op 13\, 'Pathétique' (2nd mvt) ",Thu May 12 07:47:04 +0000 2022
"Ralph Vaughan Williams",1872-10-12T00:00:00Z,1958-08-26T00:00:00Z,"Modernism","Household Music; Thre... ",Thu May 12 07:37:02 +0000 2022
"Duke Ellington",1899-04-29T00:00:00Z,1974-05-24T00:00:00Z,"Modernism","Cocktails For Two ",Thu May 12 07:32:01 +0000 2022
"Cecilia McDowall",1951-01-01T00:00:00Z,None,"Contemporary","Alma redemptoris Mater ",Thu May 12 07:24:42 +0000 2022
"Johannes Brahms",1833-05-07T00:00:00Z,1897-04-03T00:00:00Z,"Romantic","Symphony No. 3 in F M... ",Thu May 12 07:07:52 +0000 2022
"Henry Purcell",1659-09-10T00:00:00Z,1695-11-21T00:00:00Z,"Baroque","What pow'r art thou (... ",Thu May 12 07:03:10 +0000 2022
"Domenico Scarlatti",1685-10-26T00:00:00Z,1757-07-23T00:00:00Z,"Baroque","Sonata in G minor\, Kk.30 'Cat's Fugue' ",Thu May 12 06:55:13 +0000 2022
"Sandra Kerr",1942-02-14T00:00:00Z,None,"Modernism","Bagpuss - Opening ",Thu May 12 06:54:19 +0000 2022
"Franz Berwald",1796-07-23T00:00:00Z,1868-04-03T00:00:00Z,"Romantic","Symphonic Poem 'Wettlauf' ",Thu May 12 06:45:15 +0000 2022
"William Mathias",1934-11-01T00:00:00Z,1992-07-29T00:00:00Z,"Contemporary","Learsongs: No. 5\, The... ",Thu May 12 06:41:52 +0000 2022
"Wolfgang Amadeus Mozart",1756-01-27T00:00:00Z,1791-12-05T00:00:00Z,"Classical","Symphony No.22 in C K.162 ",Thu May 12 06:33:14 +0000 2022
"Erich Wolfgang Korngold",1897-05-29T00:00:00Z,1957-11-29T00:00:00Z,"Modernism","Rose Garden (The Sea ... ",Thu May 12 06:26:54 +0000 2022
"Ralph Vaughan Williams",1872-10-12T00:00:00Z,1958-08-26T00:00:00Z,"Modernism","Ward\, the Pirate ",Thu May 12 06:24:24 +0000 2022
"George Frideric Handel",1685-03-05T00:00:00Z,1759-04-14T00:00:00Z,"Baroque","Organ Concerto in F m... ",Thu May 12 06:15:38 +0000 2022
"Takashi Yoshimatsu",1953-03-18T00:00:00Z,None,"Contemporary","Tapiola Visions\, Op. 92: III. Pavane for Water ",Thu May 12 06:08:50 +0000 2022
"Edward Elgar",1857-06-02T00:00:00Z,1934-02-23T00:00:00Z,"Romantic","Chanson de matin Op.15`2 ",Thu May 12 06:04:21 +0000 2022
"Johann Sebastian Bach",1685-03-31T00:00:00Z,1750-07-28T00:00:00Z,"Baroque","Keyboard Concerto No ... ",Thu May 12 05:53:11 +0000 2022
"Trad Montana",1977-01-01T00:00:00Z,None,"Contemporary","Low Down in the Broom... ",Thu May 12 05:48:58 +0000 2022
"Samuel Coleridge-Taylor",1875-08-15T00:00:00Z,1912-09-01T00:00:00Z,"Romantic","Nonet\, Op.2 'Gradus a... ",Thu May 12 05:38:34 +0000 2022
"Gabriel Fauré",1845-05-12T00:00:00Z,1924-11-04T00:00:00Z,"Romantic","Cantique de Jean Racine ",Thu May 12 05:32:11 +0000 2022
"Josef Suk",1874-01-04T00:00:00Z,1935-05-29T00:00:00Z,"Modernism","Serenade for strings in E flat major Op 6 ",Thu May 12 05:03:14 +0000 2022
"Keith Fullerton Whitman",1973-05-29T00:00:00Z,None,"Contemporary","Middle Ages Suite ",Thu May 12 04:53:30 +0000 2022
"Johannes Brahms",1833-05-07T00:00:00Z,1897-04-03T00:00:00Z,"Romantic","Trio for violin\, Fren... ",Thu May 12 04:25:29 +0000 2022
"Orlande de Lassus",1532-01-01T00:00:00Z,1594-06-14T00:00:00Z,"Renaissance","Pelli meae consumptis carnibus ",Thu May 12 04:16:57 +0000 2022
"Carl Ludvig Lithander",1773-02-06T00:00:00Z,1843-12-17T00:00:00Z,"Classical","Rondo for flute and k... ",Thu May 12 04:09:34 +0000 2022
