Medieval		500	1400
	Ars Nova	1170	1310
	Ars Antiqua	1310	1377
	Ars Subtilior	1360	1420
Renaissance		1400	1600
Baroque		1580	1750
	Galant Music	1720	1770
	Empfindsamer Stil	1740	1780
Classical		1750	1820
	Mannheim School	1740	1780
	Sturm and Drang	1760	1780
Romantic		1800	1910
Modernism		1890	1975
	Impressionism	1890	1930
	Expressionism	1900	1930
	Neoclassicism	1920	1950
	Serialism	1920	1975
Contemporary		1950	2022
	Minimalism	1960	1970
	Postmodernism	1970	1970
	Postminimalism	1980	1990
